编号	身份证号	姓名	性别	邮政编号	户口	婚姻状况	年收入	贫困原因	脱贫时间
774380	371031226055732359	邹完歌	男	355567	易增路担持社区25号		4094	缺水	2015-12-15
735601	536933602576859059	葛高数	男	727546	钟负路付验社区81号	未婚	2442	因病	2016-09-07
152379	604580969776361924	邵集禁	男	655212	倒鲜路塞致社区22号	丧偶	2891	因学	2016-08-27
341409	749935955285485539	穆令超		233063	响伴路预功社区18号	离婚	2284	缺水	2017-05-28
793255	138855895581443979	邹华诉	男	792555	幸拥路副细社区23号	离婚	4294	缺资金	2016-09-21
463049	578880450601917491	范酒成		651792	富忍路宫默社区13号	已婚	3701	因灾	2019-05-02
900179	437238467839708530	贺关倒		472956	穿坦路浪图社区84号	离婚	3510	因学	2019-04-30
134999	164803285148903747	谈竟叶	男	270586	句束路弄永社区29号		4497	因病	2017-03-07
977559	642393113453807785	邬路难		607207	密修路负京社区58号	未婚	3005	因学	2017-10-29
423732	776014970016595412	费天还	男	551796	际醒路败黄社区7号	未婚	2419	缺劳动力	2018-06-11
889204	200058414229877851	秦性基	女	448558	倒顶路奖引社区5号	已婚	2727	交通条件落后	2019-06-16
814528	400577724492896778	苏式江	男	316007	沉塞路府食社区41号	离婚	3883	缺资金	2017-05-12
679671	465583733617507276	熊治份		806621	脑健路压香社区9号		3245	交通条件落后	2014-03-22
778731	242228672060986485	凤明力	女	287710	买药路顺句社区87号	离婚	2694	交通条件落后	2019-05-20
697788	388249404959504856	毕永山	女	423630	块归路救买社区41号	丧偶	4289	因学	2016-05-08
677204	654441755571001440	花让举	女	707078	句营路善歌社区25号		3550	交通条件落后	2019-06-14
751185	246813915683448980	金懂出	女	389693	复乡路困调社区63号	未婚	4241	缺技术	2018-04-04
980543	330647802901536273	堪整养		347687	李盖路顶沉社区75号	离婚	3817	交通条件落后	2016-11-07
310211	339592636007143773	马爱娜	女	710304	义窗路靠仍社区71号		4122	因学	2018-04-06
